Date,0
2017-01-03,100063.77079232916
2017-01-04,100727.49905639222
2017-01-05,100976.81229581956
2017-01-06,101380.41950475758
2017-01-09,101458.17997706246
2017-01-10,101738.18503102321
2017-01-11,101975.1710235347
2017-01-12,102065.87920046995
2017-01-13,102369.82863454086
2017-01-17,102067.05531534688
2017-01-18,102227.32387318111
2017-01-19,101849.9003445007
2017-01-20,101821.67351505633
2017-01-23,101937.32130187645
2017-01-24,102535.77020050744
2017-01-25,102908.37183042661
2017-01-26,102706.78582125579
2017-01-27,102632.44923150665
2017-01-30,102229.08598562668
2017-01-31,102629.74853119005
2017-02-01,102414.49118146037
2017-02-02,102579.2070972478
2017-02-03,102870.386200572
2017-02-06,102990.39863514174
2017-02-07,102978.78995243389
2017-02-08,103333.39070554214
2017-02-09,103826.80511473336
2017-02-10,103971.13497644798
2017-02-13,104165.76980786968
2017-02-14,104637.33438001135
2017-02-15,105389.62137546075
2017-02-16,105242.84239774664
2017-02-17,105809.53260441672
2017-02-21,106094.39467458226
2017-02-22,106149.99651886345
2017-02-23,105583.4949540784
2017-02-24,106365.59050704546
2017-02-27,106855.21272038465
2017-02-28,106355.87813235457
2017-03-01,106883.95756373952
2017-03-02,106235.26797715835
2017-03-03,106534.3240739074
2017-03-06,106584.62182673805
2017-03-07,106544.62709189349
2017-03-08,106528.3831490403
2017-03-09,106603.97304128269
2017-03-10,106505.30890102104
2017-03-13,106728.72477385218
2017-03-14,106669.53292701078
2017-03-15,107215.96308780926
2017-03-16,107087.11036857608
2017-03-17,107131.04338931652
2017-03-20,107180.43761314811
2017-03-21,104835.59352872806
2017-03-22,105397.74280547805
2017-03-23,105495.29911257098
2017-03-24,105303.979437366
2017-03-27,106471.44578111666
2017-03-28,107176.33248061556
2017-03-29,107581.29271995563
2017-03-30,107913.18682770326
2017-03-31,108024.84088033292
2017-04-03,107611.53815330473
2017-04-04,107974.89702940184
2017-04-05,107108.4572169363
2017-04-06,107262.26695082584
2017-04-07,107332.93800756756
2017-04-10,107287.32986112885
2017-04-11,107207.10618578276
2017-04-12,106705.59473992509
2017-04-13,106280.47986474163
2017-04-17,106923.8393043371
2017-04-18,107123.09478922872
2017-04-19,106915.20311480027
2017-04-20,107440.16086035881
2017-04-21,107285.87157525764
2017-04-24,107355.1210015072
2017-04-25,107736.50541806
2017-04-26,107684.85196321744
2017-04-27,107871.56000596091
2017-04-28,107422.86557607316
2017-05-01,107848.48145127113
2017-05-02,107722.30381753464
2017-05-03,107678.14710709393
2017-05-04,107683.10619341116
2017-05-05,107843.43392740574
2017-05-08,107878.78860416704
2017-05-09,108033.586865614
2017-05-10,108165.94549555567
2017-05-11,108270.57273416137
2017-05-12,108305.2510687605
2017-05-15,108686.29312106517
2017-05-16,108851.2511848903
2017-05-17,107116.01116651787
2017-05-18,108127.98024256376
2017-05-19,108367.9229019316
2017-05-22,108996.46160277321
2017-05-23,108804.3329672467
2017-05-24,108960.6191459547
2017-05-25,109352.54032627906
2017-05-26,109408.03373713206
2017-05-30,109390.57138226193
2017-05-31,108984.24680228562
2017-06-01,109526.36924486053
2017-06-02,110299.68027716564
2017-06-05,110128.42608965831
2017-06-06,110008.86689377589
2017-06-07,110130.23441298315
2017-06-08,110305.23914128865
2017-06-09,108173.62529953665
2017-06-12,108558.60436981008
2017-06-13,108807.86801328768
2017-06-14,108065.26896753021
2017-06-15,108743.43069801271
2017-06-16,108698.90305565315
2017-06-19,109438.42548869165
2017-06-20,108707.79017426948
2017-06-21,109254.59671740397
2017-06-22,109211.5200091386
2017-06-23,109752.81545296738
2017-06-26,108957.84380817859
2017-06-27,107535.8443742307
2017-06-28,108603.869971615
2017-06-29,107360.83139112835
2017-06-30,106900.87704665752
2017-07-03,105805.94382223723
2017-07-05,106303.68322493706
2017-07-06,105953.25591715332
2017-07-07,106679.18012365329
2017-07-10,107032.00908769667
2017-07-11,107414.43321501196
2017-07-12,107797.85361974355
2017-07-13,107889.67281004967
2017-07-14,108290.93248017944
2017-07-17,108189.50236157079
2017-07-18,108867.14723078042
2017-07-19,109240.11484776517
2017-07-20,109129.79024962273
2017-07-21,109210.14859622513
2017-07-24,109603.20397058564
2017-07-25,109681.54719310405
2017-07-26,109627.2660866351
2017-07-27,108310.84441331307
2017-07-28,108727.18649444768
2017-07-31,107935.37234720348
2017-08-01,107779.19496027679
2017-08-02,107265.8450225263
2017-08-03,106829.44501490438
2017-08-04,106842.3978536328
2017-08-07,107223.84161605207
2017-08-08,107175.5552434714
2017-08-09,107674.06698564703
2017-08-10,106040.3633647705
2017-08-11,106626.27620607101
2017-08-14,107203.19305628348
2017-08-15,106907.7749012497
2017-08-16,106857.25225252256
2017-08-17,105153.50995574117
2017-08-18,105053.29576361015
2017-08-21,104999.3870414891
2017-08-22,105946.04924266049
2017-08-23,106198.75704099215
2017-08-24,105802.46581931699
2017-08-25,105328.91368339847
2017-08-28,105278.81724384696
2017-08-29,106512.47417618259
2017-08-30,107519.23409683569
2017-08-31,108240.88405675742
2017-09-01,108125.96148512575
2017-09-05,107464.37719989479
2017-09-06,107446.89815223425
2017-09-07,107361.82209475648
2017-09-08,106866.82234775467
2017-09-11,107218.19428259833
2017-09-12,107309.13419243014
2017-09-13,107633.52019751853
2017-09-14,107460.02376565558
2017-09-15,107833.09872308033
2017-09-18,107741.96011874026
2017-09-19,107671.13831293602
2017-09-20,107609.46334972976
2017-09-21,107177.59700154388
2017-09-22,107604.20150041964
2017-09-25,107057.70287566468
2017-09-26,106861.90693949853
2017-09-27,107509.79939289817
